master_id,analysis_cell,predictor,time,threshold,estimate_SENSITIVITY,estimate_SPECIFICITY,ci_low_SENSITIVITY,ci_low_SPECIFICITY,ci_high_SENSITIVITY,ci_high_SPECIFICITY,test_id,likelihood_ratio_positive,likelihood_ratio_negative,lr_positive_plausible_low,lr_positive_plausible_high,lr_negative_plausible_low,lr_negative_plausible_high,uncertainty_note,causal_note,pretest_probability,post_test_probability_positive,post_test_probability_negative,positive_plausible_low,positive_plausible_high,negative_plausible_low,negative_plausible_high,cohort_size,modeled_responders,modeled_nonresponders,true_positive_tests,false_negative_tests,true_negative_tests,false_positive_tests,all_negative_tests,residual_response_probability_among_test_negatives,scenario_note
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >12 mmHg/mL/min,0.769,0.3399999999999999,0.706,0.212,0.8250000000000001,0.488,FT-010 | Lumbar infusion test—Rout | Rout >12 mmHg/mL/min,1.165151515151515,0.6794117647058824,0.8959390862944162,1.611328125,0.358606557377049,1.3867924528301887,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.,0.5,0.5381385584324703,0.404553415061296,0.47255689424364117,0.6170531039640987,0.26395173453996973,0.5810276679841897,100,50.0,50.0,38.45,11.549999999999999,16.999999999999996,33.00000000000001,28.549999999999997,0.404553415061296,Modeled per 100 tested from review-level sensitivity/specificity; not observed causal harm. Selection and verification bias may affect transportability.
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >12 mmHg/mL/min,0.769,0.3399999999999999,0.706,0.212,0.8250000000000001,0.488,FT-010 | Lumbar infusion test—Rout | Rout >12 mmHg/mL/min,1.165151515151515,0.6794117647058824,0.8959390862944162,1.611328125,0.358606557377049,1.3867924528301887,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.,0.65,0.6839296709311076,0.5578673602080625,0.6246086838165237,0.7495282689216577,0.3997539975399753,0.7203166226912929,100,65.0,35.0,49.985,15.014999999999999,11.899999999999997,23.100000000000005,26.914999999999996,0.5578673602080625,Modeled per 100 tested from review-level sensitivity/specificity; not observed causal harm. Selection and verification bias may affect transportability.
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >12 mmHg/mL/min,0.769,0.3399999999999999,0.706,0.212,0.8250000000000001,0.488,FT-010 | Lumbar infusion test—Rout | Rout >12 mmHg/mL/min,1.165151515151515,0.6794117647058824,0.8959390862944162,1.611328125,0.358606557377049,1.3867924528301887,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.,0.8,0.8233404710920771,0.7310126582278481,0.7818383167220377,0.8656873032528857,0.5892255892255891,0.8472622478386167,100,80.0,19.999999999999996,61.52,18.479999999999997,6.799999999999997,13.200000000000001,25.279999999999994,0.7310126582278481,Modeled per 100 tested from review-level sensitivity/specificity; not observed causal harm. Selection and verification bias may affect transportability.
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >14 mmHg/mL/min,0.8160000000000001,0.372,0.75,0.23,0.8710000000000001,0.533,FT-010 | Lumbar infusion test—Rout | Rout >14 mmHg/mL/min,1.299363057324841,0.4946236559139783,0.974025974025974,1.865096359743041,0.2420262664165101,1.0869565217391304,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.,0.5,0.5650969529085873,0.33093525179856104,0.4934210526315789,0.6509715994020927,0.19486404833836846,0.5208333333333334,100,50.0,50.0,40.800000000000004,9.199999999999998,18.6,31.4,27.799999999999997,0.3309352517985611,Modeled per 100 tested from review-level sensitivity/specificity; not observed causal harm. Selection and verification bias may affect transportability.
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >14 mmHg/mL/min,0.8160000000000001,0.372,0.75,0.23,0.8710000000000001,0.533,FT-010 | Lumbar infusion test—Rout | Rout >14 mmHg/mL/min,1.299363057324841,0.4946236559139783,0.974025974025974,1.865096359743041,0.2420262664165101,1.0869565217391304,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.,0.65,0.7070114636097041,0.47878302642113685,0.6439894319682959,0.7759731359649124,0.3100961538461537,0.668724279835391,100,65.0,35.0,53.040000000000006,11.959999999999996,13.02,21.98,24.979999999999997,0.4787830264211368,Modeled per 100 tested from review-level sensitivity/specificity; not observed causal harm. Selection and verification bias may affect transportability.
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >14 mmHg/mL/min,0.8160000000000001,0.372,0.75,0.23,0.8710000000000001,0.533,FT-010 | Lumbar infusion test—Rout | Rout >14 mmHg/mL/min,1.299363057324841,0.4946236559139783,0.974025974025974,1.865096359743041,0.2420262664165101,1.0869565217391304,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.,0.8,0.8386433710174718,0.6642599277978339,0.7957559681697614,0.8818020754239434,0.49189704480457563,0.8130081300813008,100,80.0,19.999999999999996,65.28,14.719999999999995,7.439999999999999,12.559999999999997,22.159999999999993,0.6642599277978339,Modeled per 100 tested from review-level sensitivity/specificity; not observed causal harm. Selection and verification bias may affect transportability.
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >18 mmHg/mL/min,0.366,0.7799999999999999,0.318,0.6859999999999999,0.415,0.8570000000000001,FT-010 | Lumbar infusion test—Rout | Rout >18 mmHg/mL/min,1.663636363636363,0.8128205128205129,1.0127388535031845,2.9020979020979043,0.6826137689614935,0.9941690962099126,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.,0.5,0.6245733788395903,0.44837340876944837,0.5031645569620253,0.7437275985663084,0.4056865464632455,0.49853801169590645,100,50.0,50.0,18.3,31.7,38.99999999999999,11.000000000000004,70.69999999999999,0.4483734087694484,Modeled per 100 tested from review-level sensitivity/specificity; not observed causal harm. Selection and verification bias may affect transportability.
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >18 mmHg/mL/min,0.366,0.7799999999999999,0.318,0.6859999999999999,0.415,0.8570000000000001,FT-010 | Lumbar infusion test—Rout | Rout >18 mmHg/mL/min,1.663636363636363,0.8128205128205129,1.0127388535031845,2.9020979020979043,0.6826137689614935,0.9941690962099126,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.,0.65,0.755477929501429,0.6015180265654649,0.6528742893240682,0.8434959349593497,0.5590267568362246,0.6486684225929179,100,65.0,35.0,23.79,41.21,27.299999999999997,7.700000000000003,68.50999999999999,0.6015180265654649,Modeled per 100 tested from review-level sensitivity/specificity; not observed causal harm. Selection and verification bias may affect transportability.
FT-010,ROUT_THRESHOLDS,Lumbar infusion test—Rout,3–12 months,Rout >18 mmHg/mL/min,0.366,0.7799999999999999,0.318,0.6859999999999999,0.415,0.8570000000000001,FT-010 | Lumbar infusion test—Rout | Rout >18 mmHg/mL/min,1.663636363636363,0.8128205128205129,1.0127388535031845,2.9020979020979043,0.6826137689614935,0.9941690962099126,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.,0.8,0.8693586698337292,0.764776839565742,0.8020176544766708,0.9206877426511371,0.7319361901782921,0.799062683069713,100,80.0,19.999999999999996,29.28,50.72,15.599999999999996,4.400000000000001,66.32,0.7647768395657419,Modeled per 100 tested from review-level sensitivity/specificity; not observed causal harm. Selection and verification bias may affect transportability.
FT-012,LIT_DTA,Lumbar infusion test,Varied,Study-specific,0.775,0.283,0.702,0.19,0.834,0.399,FT-012 | Lumbar infusion test | Study-specific,1.0808926080892607,0.7950530035335689,0.8666666666666666,1.3876871880199666,0.41604010025062665,1.5684210526315792,"Likelihood-ratio bounds combine marginal confidence limits and are plausible ranges, not formal joint 95% confidence intervals.",Diagnostic/prognostic classification; not evidence of causal treatment-effect modification.,0.5,0.5194369973190348,0.4429133858267717,0.46428571428571425,0.5811846689895471,0.2938053097345133,0.6106557377049181,100,50.0,50.0,38.75,11.249999999999998,14.149999999999999,35.85,25.4,0.4429133858267716,Modeled per 100 tested from review-level sensitivity/specificity; not observed causal harm. Selection and verification bias may affect transportability.
